gene	uniprot_accession
INPP4B	O15327
TRNAU1AP	Q9NX07
MTSS1	O43312
SLC46A3	Q7Z3Q1
ECI2	O75521
SEC24A	O95486
HCFC1R1	Q9NWW0
UNC13B	O14795
STARD5	Q9NSY2
INTS11	Q5TA45
PDE7B	Q9NP56
LRP10	O75096
LRP10	Q7Z4F1
ASB1	Q9Y576
EVC	P57679
VKORC1	Q9BQB6
NUP37	Q8NFH4
SSBP4	Q9BWG4
PHOX2B	Q99453
ARV1	Q9H2C2
H2BC6	P62807
TVP23B	Q9NYZ1
EPB41L4A	Q9HCS5
MUC20	Q8N307
DPM1	O60762
PRLH	P81277
ALG6	Q9Y672
SUSD4	Q5VX71
SYNJ1	O43426
SLITRK4	Q8IW52
WIPI1	Q5MNZ9
FCHSD2	O94868
SPATA4	Q8NEY3
PGPEP1L	A6NFU8
ANKRD65	E5RJM6
UTP3	Q9NQZ2
CUL5	Q93034
FKBP8	Q14318
ESYT2	A0FGR8
ADGRG2	Q8IZP9
TSPAN15	O95858
ADCY6	O43306
SERTAD4	Q9NUC0
TAS2R14	Q9NYV8
PYCR1	P32322
APOBEC1	P41238
AKT1S1	Q96B36
MICU2	Q8IYU8
STXBP6	Q8NFX7
MCUB	Q9NWR8
RSRP1	Q9BUV0
MARVELD2	Q8N4S9
UBALD1	Q8TB05
GATC	O43716
GRXCR1	A8MXD5
ABCC2	Q92887
COLEC12	Q5KU26
HBA2	P69905
CHCHD1	Q96BP2
KAT2B	Q92831
PPP5C	P53041
FOXRED2	Q8IWF2
ZFP3	Q96NJ6
POLR2I	P36954
UNCX	A6NJT0
PTP4A3	O75365
LYPLA2	O95372
CACNB4	O00305
MED23	Q9ULK4
ATP2C2	O75185
FAM120C	Q9NX05
FAM181B	A6NEQ2
IER5L	Q5T953
CASP7	P55210
OR2G6	Q5TZ20
RILP	Q96MT3
RILP	Q96NA2
TACR3	P29371
GGCT	O75223
AKR1C4	P17516
PITPNM2	Q9BZ72
VPS52	Q8N1B4
EFHB	Q8N7U6
PARP8	Q8N3A8
PM20D2	Q8IYS1
HYI	Q5T013
TTC21A	Q8NDW8
NEMF	O60524
KLHL34	Q8N239
DEGS2	Q6QHC5
H2AC14	Q99878
ZNF641	Q96N77
RPS4Y2	Q8TD47
ANKRD33B	A6NCL7
LPL	P06858
OR13G1	Q8NGZ3
ANAPC13	Q9BS18
PCDHGB5	Q9Y5G0
RHBDF2	Q6PJF5
MAGEA2	P43356
RBM12	Q9NTZ6
YPEL3	P61236
SGTA	O43765
GK	P32189
VSTM5	A8MXK1
GNG4	P50150
RAPGEF3	O95398
OR10G3	Q8NGC4
SMIM29	Q86T20
MBD5	Q9P267
KLK4	Q9Y5K2
SLIT2	O94813
CXorf66	Q5JRM2
OTULINL	Q9NUU6
STXBP3	O00186
C18orf32	Q8TCD1
SLC6A7	Q99884
TCEAL3	Q969E4
UBE2Z	Q9H832
NFKBID	Q8NI38
CFAP53	Q96M91
ATP6V0E1	O15342
FAS	P25445
FAS	P49327
SLC39A14	Q15043
LAMTOR3	Q9UHA4
GOLGA1	Q92805
MARVELD1	Q9BSK0
GAS6	Q14393
RSPH10B2	B2RC85
LUC7L	Q9NQ29
PRR19	A6NJB7
CSF2	P04141
SYNE4	Q8N205
CAPN2	P17655
USP17L4	A6NCW7
VPS11	Q9H270
SHH	Q15465
GEN1	Q17RS7
CYBB	P04839
CTSL	P07711
GZMK	P49863
OR2A4	O95047
HNRNPCL1	O60812
ZDHHC2	Q9UIJ5
VGLL4	Q14135
GCH1	P30793
RXFP4	Q8TDU9
GAB4	Q2WGN9
OTC	P00480
STRA6	Q9BX79
NXT2	Q9NPJ8
MOB3C	Q70IA8
LSM5	Q9Y4Y9
RND2	P52198
HEMGN	Q9BXL5
SMIM3	Q9BZL3
KIAA1143	Q96AT1
SEC23IP	Q9Y6Y8
ITGB5	P18084
CERS4	Q9HA82
ZNF33A	Q06730
ECT2L	Q008S8
OAS3	Q9Y6K5
SLC13A5	Q86YT5
H6PD	O95479
CNN1	P51911
OR51T1	Q8NGJ9
GP5	P40197
FAM89B	Q8N5H3
PLS3	P13797
P2RY2	P41231
CASS4	Q9NQ75
CNTN4	Q8IWV2
FAM174C	Q9BVV8
MNS1	Q8NEH6
SMIM8	Q96KF7
OVOL1	O14753
AKR7L	Q8NHP1
H1-7	Q75WM6
MMP1	P03956
EMP3	P54852
DEFB136	Q30KP8
RRP9	O43818
AGAP3	Q96P47
ADPGK	Q9BRR6
TRIB2	Q92519
IL18RAP	O95256
PEG10	Q86TG7
VAPA	Q9P0L0
OR52R1	Q8NGF1
CCR10	O00590
CCR10	P46092
SRSF5	Q13243
ATXN3	P54252
SHISAL2B	A6NKW6
ACTR10	Q9NZ32
GPR101	Q96P66
TOB2	Q14106
DOCK3	Q8IZD9
RNF31	Q96EP0
MTO1	Q9Y2Z2
SLC26A5	P58743
SLC7A11	Q9UPY5
NCBP2L	A6PVI3
AVEN	Q9NQS1
PPP1R12C	Q9BZL4
KRTAP6-2	Q3LI66
ANKS1A	Q92625
KISS1R	Q969F8
PPP1R14B	Q96C90
PUM1	Q14671
CPA5	Q8WXQ8
KRT25	Q7Z3Z0
TAS2R60	P59551
MYO5A	Q9Y4I1
RSPH14	Q9UHP6
KCNK1	O00180
CHMP5	Q9NZZ3
ANKRD13D	Q6ZTN6
CDK5RAP3	Q96JB5
SCRG1	O75711
ZNF627	Q7L945
PCBD2	Q9H0N5
DRAM1	Q8N682
BCKDHB	P21953
CELF3	Q5SZQ8
THRA	P10827
MCIDAS	D6RGH6
DPRX	A6NFQ7
MACIR	Q96GV9
MYG1	Q9HB07
METAP1	P53582
SERINC2	Q96SA4
TSHZ1	Q6ZSZ6
XRCC3	O43542
KHDC1	Q4VXA5
TMEM64	Q6YI46
RNF222	A6NCQ9
GSTA2	P09210
AHNAK2	Q8IVF2
HMGB1	P09429
ITGA1	P56199
PNPLA3	Q9NST1
NODAL	Q96S42
FGF16	O43320
CDHR5	Q9HBB8
ADPRS	Q9NX46
GOT1	P17174
SMIM1	B2RUZ4
PTOV1	Q86YD1
TGFA	P01135
IP6K1	Q92551
INVS	Q9Y283
CLGN	O14967
MRPL13	Q9BYD1
KRTAP13-3	Q3SY46
PTPN2	P17706
DCX	O43602
EEPD1	Q7L9B9
AASS	Q9UDR5
CYP2J2	P51589
LARP4B	Q92615
SYT15	Q9BQS2
TAB3	Q8N5C8
TRPM6	Q9BX84
MAST4	O15021
LRRC4	Q9HBW1
ACSL3	O95573
CTNNAL1	Q9UBT7
CT47B1	P0C2W7
MST1	P26927
MST1	Q13043
KIR2DS5	Q14953
SEMA4G	Q9NTN9
CD63	P08962
SDF2	Q99470
NUDT19	A8MXV4
PARP11	Q9NR21
GCKR	Q14397
MT-ATP6	P00846
SYT10	Q6XYQ8
HYAL2	Q12891
C10orf82	Q8WW14
SPHKAP	Q2M3C7
DIABLO	Q9NR28
DUS2	Q9NX74
MILR1	Q7Z6M3
NSF	P46459
SP140	Q13342
ETV4	P43268
OMG	P23515
GLIS2	Q9BZE0
PTPRK	Q15262
MORF4L1	Q9UBU8
MRPS5	P82675
POLR1E	O15160
POLR1E	Q9GZS1
NAA20	P61599
ZNF860	A6NHJ4
KIAA1755	Q5JYT7
CLDN3	O15551
PRELID2	Q8N945
UBXN4	Q92575
INSYN1	Q2T9L4
HHIPL1	Q96JK4
RNASE7	Q9H1E1
ZFP30	Q9Y2G7
OR52E2	Q8NGJ4
SCYL3	Q8IZE3
AGO1	Q9UL18
PTBP1	P26599
TSHB	P01222
IGBP1	P78318
CHRNB4	P30926
ZNF205	O95201
VCY1B	O14598
SF1	Q13285
SF1	Q15637
CCDC142	Q17RM4
TBC1D24	Q9ULP9
C12orf60	Q5U649
NINJ1	Q92982
ACSF3	Q4G176
RB1CC1	Q8TDY2
SRRM3	A6NNA2
ANKRD66	B4E2M5
OLFM3	Q96PB7
CCDC3	Q9BQI4
DIPK1B	Q5VUD6
ZNF429	Q86V71
PTGES2	Q9H7Z7
ZNF648	Q5T619
RPL36A	P83881
SLC9A8	Q9Y2E8
KDM2A	Q9Y2K7
SHC1	P29353
UBA52	P62987
LEO1	Q8WVC0
POLR3A	O14802
ZNF350	Q9GZX5
PPP1R18	Q6NYC8
SLC26A2	P50443
GANAB	Q14697
DHX33	Q9H6R0
ARMC8	Q8IUR7
ARL5A	Q9Y689
VMO1	Q7Z5L0
MAB21L1	Q13394
FAM117B	Q6P1L5
SP1	P08047
SP1	Q8N907
CA4	P22748
RNF128	Q8TEB7
FAM25G	B3EWG6
STK19	P49842
NXNL1	Q96CM4
ELOA3DP	A6NLF2
COPRS	Q9NQ92
MYO1F	O00160
ZBTB7C	A1YPR0
PHF19	Q5T6S3
MS4A10	Q96PG2
SPATC1	Q76KD6
VPS35L	Q7Z3J2
MAPK4	P31152
SLC9C1	Q4G0N8
XXYLT1	Q8NBI6
TLR8	Q9NR97
BICC1	Q9H694
NCBP2	P52298
FIP1L1	Q6UN15
CDC42EP2	O14613
RNF32	Q9H0A6
GPR180	Q86V85
NDC1	Q9BTX1
CCDC87	Q9NVE4
C15orf62	A8K5M9
ZBTB11	O95625
TTC19	Q6DKK2
LENEP	Q9Y5L5
TRIM22	Q8IYM9
AGAP11	Q8TF27
SPG7	Q9UQ90
KREMEN1	Q96MU8
ERICH1	Q86X53
SIGMAR1	Q99720
DMAC1	Q96GE9
RCE1	Q9Y256
MRPS6	P82932
SLC17A2	O00624
SLC17A2	Q06495
TNFSF15	O95150
ARHGAP24	Q8N264
KIAA1328	Q86T90
PDZD11	Q5EBL8
IFNL2	Q8IZJ0
ZNF621	Q6ZSS3
C14orf39	Q8N1H7
LYPLA1	O75608
SERTM1	A2A2V5
TMEM72	A0PK05
CCN4	O95388
PTPN23	Q9H3S7
RNF8	O76064
AQP6	Q13520
MFSD10	Q14728
ACAA1	P09110
UBE2T	Q9NPD8
SLC13A1	Q9BZW2
KLF8	O95600
C1orf198	Q9H425
ZC2HC1A	Q96GY0
EIF2AK4	Q9P2K8
HYOU1	Q9Y4L1
IDUA	P35475
SYT11	Q9BT88
SERPING1	P05155
COPS7B	Q9H9Q2
PRR15	Q8IV56
URB1	O60287
OR1F1	O43749
MESP2	Q0VG99
BFSP2	Q13515
SLC29A3	Q9BZD2
SLC31A2	O15432
NFKBIE	O00221
PRAMEF1	O95521
VWA1	Q6PCB0
TAF4B	Q92750
RLN2	P04090
SEMA4A	Q9H3S1
SLC10A7	Q0GE19
OR52Z1	P0C646
TKFC	Q3LXA3
SYTL1	Q8IYJ3
HARS1	P12081
TTPA	P49638
B3GALT5	Q9Y2C3
SNX11	Q9Y5W9
KCNJ3	P48549
NAP1L2	Q9ULW6
GAPDHS	O14556
ALOXE3	Q9BYJ1
GABRR1	P24046
PBLD	P30039
ST3GAL4	Q11206
DTHD1	Q6ZMT9
KLHL4	Q9C0H6
SLC2A1	P11166
DGKA	P23743
GZMH	P20718
PLA2G4F	Q68DD2
RGL1	Q9NZL6
PARP9	Q8IXQ6
FAM13B	Q9NYF5
HLA-DQB1	P01920
SLC35G3	Q8N808
B3GALT2	O43825
SYAP1	Q96A49
DTNB	O60941
PPP1R1A	Q13522
PVR	P15151
MCM5	P33992
NLGN2	Q8NFZ4
C2CD2L	O14523
TIMELESS	Q9UNS1
FOLR2	P14207
IRGQ	Q8WZA9
ADTRP	Q96IZ2
DDIT4L	Q96D03
PINK1	Q9BXM7
SECISBP2L	Q93073
C4orf54	D6RIA3
HACD3	Q9P035
TAB2	Q9NYJ8
COX6B1	P14854
SPPL2C	Q8IUH8
MRPS11	P82912
ETNK2	Q9NVF9
MOCOS	Q96EN8
ATP6V1F	Q16864
FKBP1A	P62942
BAGE4	Q86Y28
TNNI2	P48788
TM4SF1	P30408
CCNH	P51946
OGFOD1	Q8N543
XRCC2	O43543
METTL23	Q86XA0
OR1L8	Q8NGR8
RAB3D	O95716
CRYZ	Q08257
ATP6V0A2	Q9Y487
ZNF771	Q7L3S4
BCAP31	P51572
TRIP12	Q14669
CYP4F11	Q9HBI6
NEUROG3	Q9Y4Z2
HSD17B8	Q92506
DYNLT2B	Q8WW35
NMS	Q5H8A3
TSPYL5	Q86VY4
CDH12	P55289
GNAQ	P50148
RIT2	Q99578
REXO2	Q9Y3B8
HSD17B6	O14756
SAP25	Q8TEE9
DDX5	P17844
NPHS1	O60500
SPOCK2	Q92563
OAZ3	Q9UMX2
ZDHHC22	Q8N966
COX7B2	Q8TF08
B4GAT1	O43505
PON2	Q15165
BIN1	O00499
ADAMTS18	Q8TE60
PRORY	Q9H606
SLC8A1	P32418
GNAI3	P08754
TFB1M	Q8WVM0
MPP1	Q00013
CDKL5	O76039
DEFB123	Q8N688
SLC27A2	O14975
WRAP73	Q9P2S5
STX10	O60499
SPANXA1	Q9NS26
CNOT6L	Q96LI5
EFNA5	P52803
DYNC1H1	Q14204
ZNF17	P17021
CABP5	Q9NP86
MGME1	Q9BQP7
FRG2B	Q96QU4
ZNF699	Q32M78
OCIAD1	Q9NX40
KCNK4	Q9NYG8
GOLGA8A	A7E2F4
CXCL2	P19875
CSRNP3	Q8WYN3
GLIS1	Q8NBF1
IFI6	P09912
FOSL2	P15408
CARD16	Q5EG05
KRTAP5-7	Q6L8G8
LONP2	Q86WA8
ANG	P03950
SLC16A10	Q8TF71
ZNF529	Q6P280
REM2	Q8IYK8
ASIC2	Q16515
CBLC	Q9ULV8
PMVK	Q15126
MTREX	P42285
RBMY1D	P0C7P1
ZNF883	P0CG24
FAM149A	A5PLN7
EPYC	Q99645
OR8A1	Q8NGG7
RAB21	Q9UL25
RNF103	O00237
SEMA6D	Q8NFY4
RFPL4AL1	F8VTS6
KCNK9	Q9NPC2
KLHL5	Q96PQ7
TRAPPC10	P48553
CHST1	O43916
CHGA	P10645
SNU13	P55769
G6PC3	Q9BUM1
CCDC191	Q8NCU4
LETMD1	Q6P1Q0
FGF23	Q9GZV9
MICAL2	O94851
RAB27B	O00194
IFIH1	Q9BYX4
ZNF813	Q6ZN06
LTC4S	Q16873
L3MBTL4	Q8NA19
GPR148	Q8TDV2
TMX3	Q96JJ7
FOXO1	Q12778
NOL9	Q5SY16
TRAPPC6B	Q86SZ2
CELSR2	Q9HCU4
ZNF362	Q5T0B9
AMBN	Q9NP70
DDB1	Q16531
TMEM253	P0C7T8
MEGF11	A6BM72
L3MBTL1	Q9Y468
MSANTD3	Q96H12
ABCA2	Q9BZC7
FAM13C	Q8NE31
NUCB2	P80303
BANF1	O75531
OR8B12	Q8NGG6
TMEM219	Q86XT9
HNRNPL	P14866
IKZF1	Q13422
CCDC173	Q0VFZ6
H2BC21	Q16778
KLHL2	O95198
TRAM1	Q15629
TRAM1	Q9Y6Q9
CSRNP1	Q96S65
ERVW-1	Q9UQF0
F3	P13726
CPSF7	Q8N684
PDZD7	Q9H5P4
ZNF92	Q03936
CRTC2	Q53ET0
CGB2	Q6NT52
ENAH	Q8N8S7
APRT	P07741
CBR3	O75828
CA5A	P35218
ARAP1	Q96P48
GLRA2	P23416
OR5AC2	Q9NZP5
SHC4	Q6S5L8
FBXO10	Q9UK96
AP3D1	O14617
DEFB129	Q9H1M3
ZNF417	Q8TAU3
MVB12B	Q9H7P6
USP14	P54578
CD101	Q93033
HMBOX1	Q6NT76
KPNA1	P52294
EIF1B	O60739
OR4M2	Q8NGB6
CNN2	Q99439
MCCD1	P59942
VWF	P04275
LGALS7B	P47929
TP53TG3F	Q9ULZ0
OR2A2	Q6IF42
SLC6A19	Q695T7
OR6S1	Q8NH40
CCL14	Q16627
SPINK1	P00995
AGFG2	O95081
ENDOG	Q14249
TMUB2	Q71RG4
NANOS1	Q8WY41
DCLK1	O15075
CNGB1	Q14028
BTN3A1	O00481
HAL	P42357
IMPG1	Q17R60
SCTR	P47872
EMC3	Q9P0I2
GLT8D1	Q68CQ7
ACSS2	Q9NR19
NDUFAF2	Q8N183
ANKRD26	Q9UPS8
UFM1	P61960
B3GNT2	Q9NY97
MED22	Q15528
PLA2G4B	P0C869
PRMT6	Q96LA8
S100A13	Q99584
SESN2	P58004
ZCCHC14	Q8WYQ9
ATP6V1FNB	A0A1B0GUX0
SULT1A4	P0DMN0
GOLM1	Q8NBJ4
ROR2	Q01974
CLPX	O76031
RAN	P62826
TEX33	O43247
VARS1	P26640
CDC14B	O60729
DNAH7	Q8WXX0
CCDC28B	Q9BUN5
XKR6	Q5GH73
GTF2IRD2	Q86UP8
NLRC5	Q86WI3
FANCB	Q8NB91
CYP4F12	Q9HCS2
MRPS10	P82664
NPPA	P01160
LEMD3	Q9Y2U8
NCKAP5	O14513
SMARCC1	Q92922
PIH1D1	Q9NWS0
ANAPC11	Q9NYG5
H4C11,H4C12	P62805
OR2L8	Q8NGY9
HMGN2	P05204
ZIC5	Q96T25
SNX21	Q969T3
DACT1	Q9NYF0
FMOD	Q06828
DVL1	O14640
DVL1	P54792
PRXL2B	Q8TBF2
TMEM255A	Q5JRV8
TDRD9	Q8NDG6
SMIM17	P0DL12
KRTAP4-8	Q9BYQ9
TREML2	Q5T2D2
KIF5C	O60282
DYDC2	Q96IM9
ZNF766	Q5HY98
C1QTNF9	P0C862
DEFB105B	Q8NG35
PLCD3	Q8N3E9
SIGLEC5	O15389
ANAPC10	Q9UM13
SMR3A	Q99954
PLA2G4E	Q3MJ16
C2orf27A	P0DPF5
MOB1A	Q9H8S9
MXRA5	Q9NR99
PDAP1	Q13442
APOBEC3G	Q9HC16
LRRC2	Q9BYS8
GTF2H5	Q6ZYL4
ITGA3	P26006
